WBAN_ID,STATION_NAME,STATE_PROVINCE,COUNTRY
00417,COLSTRIP AIRPORT,MT,US
00418,SOUTH PADRE ISLAND HELIPORT,TX,US
00419,BERTHOUD PASS,CO,US
00420,VENICE HELIPORT,LA,US
00421,MADISONVILLE MUNICIPAL AP,KY,US
00422,WILKERSON PASS,CO,US
00423,DE QUINCY INDUSTRIAL AIRPARK,LA,US
00424,SUNLIGHT,CO,US
00425,MIDDLEBURY STATE AIRPORT,VT,US
00426,PINE BLUFFS MUNICIPAL AIRPORT,WY,US
00427,ST MARY HOSPITAL,MN,US
00428,DEXTER B FLORENCE MEMORIAL FIELD AIRPORT,AR,US
00429,HOPKINS FIELD AIRPORT,CO,US
00430,TRI STATE STEUBEN COUNTY AIRPORT,IN,US
00431,HARRISON COUNTY AIRPORT,TX,US
00432,GRAND ISLE SAWRS,LA,US
00433,BRIDGEPORT SONORA JUNCTION,CA,US
00434,SCOTTSBLUFF,NE,US
00435,BRAZOS 451 OILP,TX,US
00436,BLAIR MUNICIPAL AP,NE,US
00437,KYLE OAKLEY FIELD AIRPORT,KY,US
00438,COULTER FIELD AIRPORT,TX,US
00439,CRISP COUNTY CORDELE AIRPORT,GA,US
00440,CULLMAN REGIONAL AIRPORT FOLSOM FIELD,AL,US
00441,DAVIESS COUNTY AIRPORT,IN,US
00442,WEST DELTA 27A,MS,US
00443,DUBOIS MUNICIPAL AIRPORT,WY,US
00444,DIXON AIRPORT,WY,US
00445,DEMOPOLIS  MUNICIPAL AIRPORT,AL,US
00446,MONDELL FIELD AIRPORT,WY,US
00447,ATHENS MUNICIPAL AIRPORT,TX,US
00448,RALPH M HALL ROCKWALL MUNICIPAL AIRPORT,TX,US
00449,FORT BRIDGER AIRPORT,WY,US
00450,FRONT RANGE AIRPORT,CO,US
00451,BRANSON WEST MUNICIPAL EMERSON FIELD AIRPORT,MO,US
00452,IDAHO COUNTY AIRPORT,ID,US
00453,GREEN CANYON 338,LA,US
00454,OFFSHORE,LA,US
00455,HANNIBAL REGIONAL AIRPORT,MO,US
00456,ALAMINOS CANYON,TX,US
00457,FALSE RIVER REGIONAL AIRPORT,LA,US
00458,CLERMONT COUNTY AIRPORT,OH,US
